id,text,language,category,is_synthetic
31,Worst app first took a week time to get register after that it is not accepting the correct CNN to view water bills.....bad app,en,Water Resources,False
32,My potholes ap is pathetic. Not a user friendly. You can not complaint.,en,Urban Development,False
33,Not able to view water bills,en,Water Resources,False
34,Unable to pay water bill,en,Water Resources,False
35,Unable to add CCN no for water bill. Credentials for water bill disappeared.,en,Water Resources,False
36,No proper guide . I want to see water bill as a secratary of my society but no proper guide in app. 3 rd class experience,en,Water Resources,False
37,"CCN for water bills not showing. When trying to register, it says CCN already exists",en,Water Resources,False
38,Kya bakwas chalu hai iss app me ek sirf water bill k liye use karti hu wo bhi nahi chal raha dhang se Bmc ka koi bhi kaam na office me time se hota hai na app se 😡😡😡😡,hinglish,Water Resources,False
39,Water bill payment is having problem most of the time,en,Water Resources,False
40,"Their is option to complaint about services provided by BMC,Water meter, Garbage removal pending,Road issues etc.",en,Environment,False
41,How to apply for birth certificate on line,en,Public Administration,False
42,Doesn't work . BMC is sitting on pile of cash but they don't want to hire professionals for this type of work. Totally unacceptable. Corrupt system...,en,Public Administration,False
43,No space to complaint against mcgm pay and park contractor near Leelavati hospital. He is charging extra than written on the board.,en,Healthcare,False
44,"CCN number not accept in water bill resister. I have try more than 10 times, but can't resister my CCN. I have also try my neighbors CCN, but same issue. After uploading app, now working good.",en,Water Resources,False
45,"The app does not have an option to download death certificate and birth certificate online,I think that can be incorporated in the next update of the app",en,Public Administration,False
46,Water bill is not downloading,en,Water Resources,False
47,App is very useful for us like senior citizens for any information and online payments of BMC WATER BILL. Also for history of payments.,en,Water Resources,False
48,very good experience. prompt attention of my complaint regarding dumped garbage. Thanks to officers involved.,en,Environment,False
49,No any action against Hawkers. Corrupt BMC,en,Public Administration,False
50,water bill receipt are not viewing hope that glitch will get recover other wise app is good,en,Water Resources,False
51,I couldn't pay my water bill through online. Bcos I have an account in icici bank. Kindly add . I had a very bad experience about this app.,en,Water Resources,False
52,No certificates are issued thru app,en,Public Administration,False
53,"Some fields in information are blank e.g.Date of retirement. Then there's no provision to edit/update information. Now for few days the fields pension slip, certificate are blank and one cannot fill any search there.",en,Public Administration,False
54,C.l buht se teacher ki sahi show nhi kar raha hai. Or EL bhi,hinglish,Education,False
55,Not able to download water Bill on app as well as on app... solve this issue..,en,Water Resources,False
56,Incomplete app..offline ward F madhe..birth certificate. Kadanare corruption loka ahe .Krishan ani office boy kaka,en,Public Administration,False
57,Water bill gantate hotat tyache update Remaind nahi yet app madhe please update every month like mseb,hinglish,Water Resources,False
58,Nést app fór watçhíñg water bill&payment,en,Water Resources,False
59,"Water bill previously list no showing.... Need to improve.. Payment mode is less(my bank is not showing, also no gpay, phonepe and paytm option not available)",en,Water Resources,False
60,Water bill section is faulty. 4 times used different password but of no use.,en,Water Resources,False
61,New update is Good.Please update UPI/BHIM PAYMENTS OPTION FOR water bill and bill payment . Thank you..,en,Water Resources,False
62,सरकार और सरकारी काम दोनों बड़े ढीले है..!!,hi,Public Administration,False
63,This is the perfect examplr how mumbai bmc is working...full of corruption.... Useless....,en,Public Administration,False
64,Worst app...not able to check my water bill or pay..,en,Water Resources,False
65,It is not worth to give half star also..but without giving i cant post..i am trying dis app from last 8 months..it is still under maintenance..same like road Potholes..,en,Urban Development,False
66,Water bill section not working every time showing service under maintenance,en,Water Resources,False
67,I think it is student's mini project they are using as App...Very bad app.,en,Education,False
68,gread less app it is .i m trying to out water bill but it always show d server issue wheather using at night also .new commisnor didnt work on this,en,Water Resources,False
69,Worst. Above last 18 months its water bill service under maintenance😤😤,en,Water Resources,False
70,Worst app...always shows no server available..why they don't tie up with with other payments app which will make water bill payment easier,en,Water Resources,False
71,No use to pay water bill,en,Water Resources,False
72,Should add option of birth n death certificate download,en,Public Administration,False
73,Transcation karun hi Ani account madhun amount cut zali Ani lagech session times exceeded Google pay var MCGM water bill payment chalu kara,hinglish,Water Resources,False
74,"Tried to pay my water bill but getting an error ""Service under maintenance"". It's been quite a long time I am getting this error.",en,Water Resources,False
75,Wheres ccn number on water bills.i cant access my water bill,en,Water Resources,False
76,V. Poor- services mcgm wake up for online water bill pay or give authority permission other payment APPS. Always you are sorry for inconvenience or under maintenance. When your system will work.,en,Water Resources,False
77,Service pichle 6month se under mentance hai water bill mil Nahi Raha kya Kar Rahe samjh Nahi araha hai,hinglish,Water Resources,False
78,"Application is useless I want register my water bill in apps But message occured ""under maintenance"" Please resolved this as erliest",en,Water Resources,False
79,"Trying to pay water bill since many months, but getting the error ""service under maintenance, sorry for inconvenience"" 4 months since this review, issue still persists.",en,Water Resources,False
80,When I go to register my water bill ccn still says service under maintenance sorry for inconvenience.,en,Water Resources,False
81,Lodged complaints for contaminated water supply thrice. Always my address was registered incorrect despite me providing the details clear and twice !!! Otherwise the app works fine for me.,en,Water Resources,False
82,"It donot register property tax number, trying since one week Application seems will only work when we will bribe like BMC:(((",en,Public Administration,False
83,Can't register CCN for Water Bill stating System under maintenance.,en,Water Resources,False
84,I don't know who support this app.....unable to register CCN number for water bill. Very bad app....,en,Water Resources,False
85,I'm unable to register my CCN number to check the water bill. It gives an error 'Service under maintenance. Sorry for the inconvenience'. And I'm getting this error from last 3-4 months. Please check for the issue.,en,Water Resources,False
86,"To see the water bill, register CCN feature is showing error of service under maintenance since 2 days",en,Water Resources,False
87,Unable to register ccn for water bill. Everytime same popup : service under maintenance.,en,Water Resources,False
88,Almost from last 4 months website is showing it is under maintenance and not able to register to water bill payment.,en,Water Resources,False
89,"Extremely Usless app. Doesn't work at all. Not does the MCGM website. Im trying to pay my water bill, everytime i do, it comes back return to my account.",en,Water Resources,False
90,Cannot register CCN. It's been 6 days unable to register CCN to pay water bill.,en,Water Resources,False
91,Water bill pay option under maintenance.,en,Water Resources,False
92,सरकारी काम नी दहा वर्ष थांब असा अनुभव. अडीच तीन महिन्यापासून अंडर मेंटेनन्स आहे अॅप. वेबसाईट वर फक्त sbi बँक चे पेमेंट स्वीकारते फक्त . भारतातल्या सर्वात श्रीमंत महानगरपालिकेची ही अवस्था .,hinglish,Public Administration,False
93,Water bill payment more then 2 month shows under maitanence,en,Water Resources,False
94,Worst app water bill section not work,en,Water Resources,False
95,Unable to pay water bill online since many months. Always getting maintenance error,en,Water Resources,False
96,Water Bill section shows Service under maintenance,en,Water Resources,False
97,Unable to pay water bill as it keeps saying server under maintenance.,en,Water Resources,False
98,I'm not able to add my ccn in water bill section from last 2 months worst app..,en,Water Resources,False
99,Very bad application water Bill process not working so many times i will same display...,en,Water Resources,False
100,"Waste and patatik app i ever seen. Every time i try to view/pay my water bill its shows SERVICE UNDER MAINTENANCE, SORRY FOR INCONVENIENCE. Why this is not fixed yet by MCGM TEAM. Why our government services are so slow.",en,Water Resources,False
101,Worst service as always. It's been 3 months I am trying to add my CCN number for water bill but it never gets register. Why the hell this app is even exist...,en,Water Resources,False
102,Water bill section under maintenance why,en,Water Resources,False
103,Water bill section is not working since more than 2 months. If you don't have enough resources to provide bill payment service on your app then atleast tie up with Paytm/Amazon so that we can pay bill from thier app,en,Water Resources,False
104,Is this app is working or only for showpiece. From last 1month trying to download water Bill showing service is under maintenance.,en,Water Resources,False
105,Water bill not accepted. again again under maintenance,en,Water Resources,False
106,"Water bill paying very much difficult activity on yr app, kindly be easily to payment also as UPI payment",en,Water Resources,False
107,Still showing service under maintenance...unable to pay water bill,en,Water Resources,False
108,Last 2 months Water bills payment site not working,en,Water Resources,False
109,Water bill payment not working since long. Useless BMC service. Nobody is replying to the complaints.,en,Water Resources,False
110,Unable to view water bill Statment from last one month... Apps shows msg like under maintenance,en,Water Resources,False
111,Worst service showing undermaintenance for water bill,en,Water Resources,False
112,Since many days not able to register ccn for water bill payment.Waste aplication...,en,Water Resources,False
113,Issue in water bill criteria. Can not register the CCN or view or make payment.,hinglish,Water Resources,False
114,Unable to register for water bill since Dec 2019. Pl resolve this issue on priority.,en,Water Resources,False
115,"3rd class app, while paying water bill the app always shows a message service under maintenance. MCGM is still so backward in technology. App should be rated Zero.",en,Water Resources,False
116,"For last 2 month this app is showing ""service under maintaince,sorry for inconvenience"" in water bill section.I need to pay bill but getting this issue,need to solve it asap",en,Water Resources,False
117,Water billl payment issue every time,en,Water Resources,False
118,Payment for water bill is not working. Please get it fixed.,en,Water Resources,False
119,They are improving. I got a call immediately after my complaint and the issue was fixed. I had raised a ticket for water leakage in pipeline. Thank you BMC for prompt response.,en,Water Resources,False
120,Developing part of this application is great but the department of BMC is corrupted they don't want to work without getting a in corruption,en,Public Administration,False
121,Water bill pay nahi ho rahe . Last month say kise bill pay karo online . My bmc app water bill payment accept hi nahi kar hai. Help me .. bmc,hinglish,Water Resources,False
122,Can not pay water bill througt this app,en,Water Resources,False
123,"Worst App. Water bill Payment server always down, what to expect from BMC.",en,Water Resources,False
124,"No use of filing complain from this app, no action is taken, pothole remains, wondering how is bmc functioning, not serious about inconvenience faced by public and danger to 2 wheelers dueto potholes",en,Urban Development,False
125,Pls. Add google pay option to pay water bill amount,en,Water Resources,False
126,Worst App.Water Bill Payment Is still Under maintenance then Why You were Releasing Such Apps... Horrible..😠,en,Water Resources,False
127,issue with water bill payment.. says data not received from server.. fix it asap. invalid ccn error. Fix it asap. Not able to make payment on both app and website.,en,Water Resources,False
128,Cannot pay water bill says service under maintenance sorry for inconvenience' this is the situation with the app for the past few months,en,Water Resources,False
129,Can do anything if try to register on water bill is say service under maintenance,en,Water Resources,False
130,Sadly I cannot write a review with zero stars. Cant. Pay water bills. Always shows service under maintenance.,en,Water Resources,False
131,"Can't do anything. If I try to register for property tax or water bill, it says service under maintenance. Totally useless application.",en,Water Resources,False
132,Since so many days not able to access water bill payment online it's under maintenance so many days facing issue,en,Water Resources,False
133,Kiya is app pe apna birth certificates name glat hai to shi kar skty h kia plzz tell me,hinglish,Public Administration,False
134,Why I can't pay for the water bill....it shows like we're working on it sorry for the inconvenience...can anyone help me out of this issues,en,Water Resources,False
135,"its not giving details of Water Bill's, or of Property Bill's. it's useless as it always shows under maintainance",en,Water Resources,False
136,very poor workings. not registering any CCN number. any types of water bills and property bills. always responding no data receiving from server. now tell me how will be Mumbai smart.,hinglish,Water Resources,False
137,stop using this i will done online payment of water bill but not show .i have lost my 770 rs,en,Water Resources,False
138,Can anyone help I have made a payment for the water bill amount have been deducted but it is showing as error please help,en,Water Resources,False
139,unable to view certificate license.,en,Public Administration,False
140,i cant pay water bills or property tax as it doesn't work,en,Water Resources,False
141,water bill not show in this app last four month,en,Water Resources,False
142,worst application water bill is not showing and not taking new ccn always showing no data found in server........,en,Water Resources,False
143,not accept CCN for water bill,en,Water Resources,False
144,unable to pay water bill showing unable to fetch data from server.,en,Water Resources,False
145,not working ..when paying thw water bill showing error.. faltu app,en,Water Resources,False
146,Bill payment cannot be made and showing error. This has been done so that MCGM can ask for bribe will bill payment. One of the most corrupt place.,en,Public Administration,False
147,Payment functionality is not working for water bill payments,en,Water Resources,False
148,"It was a nice app before update working very well, I was able to check & 
pay my water bill very easily. The updated version sucks, every time shows 
error no data received from server.😤",en,Water Resources,False
149,No Data Received From Server Error Shown While Ragister in Water Bill,en,Water Resources,False
150,Not able to pay water bill,en,Water Resources,False
151,"Can't pay water bill...CCN can't be registered...showing "" No data from 
Server""..",en,Water Resources,False
152,"Can't see the water bill after last update my water bill is generated i 
received mail.",en,Water Resources,False
153,"Pervious version was functional this version cant pay water bill also it 
sucks more",en,Water Resources,False
154,Very bad of last update..donot show water bill ..please improve asap...,en,Water Resources,False
155,"We tired since morning to pay water bill onlie.....CCN says no data found 
from server.....Very bad apppp......Also no idea from where we get the 
help......",en,Water Resources,False
156,"I tried using this to check my water bill, each time I try to register my 
CCN, it says 'no data recieved from server', and I cannot proceed any 
further",en,Water Resources,False
157,Absolutely love the PMC CARE app! The ability to download my birth certificate instantly without having to visit the ward office physically is a game-changer. So convenient and fast. 5 stars!,en,Public Administration,False
158,"App. doesn't include searvices for PMC pensioners e. g.livinh certificate,Pension yearly cerificate , applications for CHS , etc",en,Public Administration,False
159,worst app can't even see my certificate fix this asap,en,Public Administration,False
160,kahi kaamch nahi he shevati karaylaya madhe jaunch chatu pana karava lagto faltu service paise ghe nd certificate de sanghatna..,hinglish,Public Administration,False
161,no इन्फॉर्मशन avilable for water supply timings,hinglish,Water Resources,False
162,"Pune Municipal Corporation's PMC CARE app is very useful for us to raise complaints regarding any issues, to download birth certificate, Death certificate and easy access to avail any kind of PMC services.",en,Public Administration,False
163,All corrupt people running and ruining PMC. Worst app,en,Public Administration,False
164,I had paid my property tax bill. I was able to download the NOC Certificate very easily. Thank you PMC care,en,Public Administration,False
165,Thank you so much for helping me to get my birth certificate the coustomer support was very nice in helping me and I got my certificate thank you very much 🩷🙏🏻,en,Public Administration,False
166,Very useful app. I got birth certificate online very easily. Everyone must use this app.,en,Public Administration,False
167,"Very good application smooth and convenient. We can access birth certificate, ptax bill, near location, useful blogs",en,Public Administration,False
168,"Blog, Articles, about nearing sections are very helpful. This app is very helpful. PMC services like birth certificate, death certificate and grievances in one app.",en,Public Administration,False
169,I got death certificate within few minutes,en,Public Administration,False
170,The app doesn't allow you to upload images from the phone. it's made that way on purpose because it's not practical to report an incident live from the location itself. Corruption to the core.,en,Public Administration,False
171,"Issue was reported on 6th Oct, 2025. Road repair work began on 7th oct. Instant action by PMC. Greatly appreciated! Thank you, PMC. Keep up the good work! 👏👏",en,Urban Development,False
172,"App is really helpful. I reported potholes yesterday, got a call this morning for details, and by evening the pothole was repaired. Very quick response, I’m happy with the service.",en,Urban Development,False
173,"No upload of images possible from gallery. It means taking pictures directly from app, imagine doing that in peak traffic. App designer apply some common sense.",en,Urban Development,False
174,I have filed 4 complaints about potholes and uneven roads in my area Nere dattawadi chowk 411033 but no development of road as promised by this app by gov in medial. Seems to be like another gimmick for common people.,en,Urban Development,False
175,आज कुठे जाऊन सरकारने पुण्यातील खड्यांची दखल घेतली धन्यवाद..! या app मध्ये सर्वसामान्य नागरिकांना reward points ही दिले जावेत व त्या points चा उपयोग त्यांच्या शासकीय कामांसाठी होईल अशी तरतूद करण्यात यावी ही नम्र विनंती,hinglish,Public Administration,False
176,first fix potholes in your app,en,Urban Development,False
177,Cannot upload photos of roads potholes Shows an error despite giving all required permissions(Camera),hinglish,Urban Development,False
178,"I suggest adding Open public water tap fitting, land potholes, garbage in drainage canals etc so many options...why we will search and struggle to go separate departments and numbers which are terrible experience",en,Urban Development,False
179,very poor experience it's been 11 days problem unsolved and no one contacted. this app is itself garbage dump it,en,Environment,False
180,har jagah corruption baby,en,Public Administration,False
181,complaint about garbage vehicle is not accepted. repeatedly says 'Take a picture'.,en,Environment,False
182,"Bad experience.... as I raised a garbage dump complaint on 8 aug and today is 18 aug 2026, No any action has been taken till now.",en,Environment,False
183,बहुत अच्छा ऐप है जितने भी नेगेटिव कमेंट है वे सब सरकारी कर्मचारियों द्वारा करवाए गए है सिर्फ और सिर्फ ऐप की रेटिंग को कम दिखाने के लिए ।,hi,Public Administration,False
184,"I've complained about the garbage dumps. No action taken to solve the problems. No update of the complaint. This app shows an error when submitting the answers of the feedback survey,not useful at all.",en,Environment,False
185,"अभी इस्तमाल नहीं किया लेकिन फीचर्स अच्छे है, इलेक्ट्रिसिटी बोर्ड या विद्युत संबंधी ऑप्शन नहीं दिखा इसमें , जैसे खुले ट्रांसफार्मर से मारने वाले पशु पक्षी गार्डन और उसके आसपास खरपत बार खुली नालियां इत्यादि",hi,Energy,False
186,"cannot submit the complaint or feedback. for a complaint regarding the garbage vehicle not coming to collect waste, one needs to post the pics but of what ? the garbage or of vehicle not coming? strange",en,Environment,False
187,3 days ago report to garbage but nothing happened,en,Environment,False
188,garbage app if you complain 3 or 4 times you will not be able yo login again for complaint.,en,Environment,False
189,"Hopeless app. I just registered in the app. Soon after that, before even I raised a complaint about garbage they blocked my number. M no more receiving OTP. This is pathetic",en,Environment,False
190,it's been 5 days of complaining against the garbage dump..but no action has been taken.,en,Environment,False
191,very bad experience I complaint for garbage dump in my area 6 days to go but till now no action is taken,en,Environment,False
192,palghar nagar parishad not showing in option why Also pls add Grampanchayat area for clearing app,en,Accessibility,False
193,Your app does not serve the purpose of reporting all type of complaints e.g. garbage collection vehicle not coming regularly.,en,Environment,False
194,app is built by a college student. wrong address despite giving locations and no action taken,en,Education,False
195,"worst system and worst app, no one contacted or coming from officials to check or clean garbages",en,Environment,False
196,"no actions are being taken on any of the issues I have raised. the garbage is still there, the waterlogged areas are still same. debry is still there. someone comments, On the job, but then nothing, no action.",en,Environment,False
197,I have already described all but the app does not accept the photo of garbage I have clicked several times,en,Environment,False
198,Worst They never took any action against the garbage truck not arrived daily and etc...,en,Environment,False
199,I no use always posting complaint no one come and doesn't clean garbage and gutter,en,Environment,False
200,सब बेकार है । मैने खुले में कचरा जलाने की कम्प्लेंट की लेकिन कोई फायदा नहीं फर्जी है,hi,Water Resources,False
201,very good app garbage cleared in less than 6 hours,en,Environment,False
202,garbage not collected regularly during may 17to 20),en,Environment,False
203,"यह एप सरकार की एक नाकामी है। जब भी कंप्लेंट डाली वो बंद कर दी गई, कोई समाधान नहीं हुआ। अगर 1 से भी नीची रेटिंग होती तो अच्छा होता, इस एप के लिए 0 रेटिंग होना चाहिए।",hi,Public Administration,False
204,I have posted so many complaints about garbage dumps on main road since days but no action was taken.,en,Environment,False
205,"When we file a complaint about garbage collection, they generate ai photo, upload it, and declare that our issue has been resolved. What shameless people! What a shame!",en,Environment,False
206,आपका इंजिनियर गलत लोकेशन के फोटो डाल कर सॉल्व हो गई लिख रहा है जबकि मैने नाली का फोटो डाला है और वो टाइल्स का फोटो डाल कर कह रहा है को साफ हो गई गलत बात है में आपको सेवा से असंतुष्ट हु,hi,Urban Development,False
207,worst indian government and services. 4 times posted for Garbage dump and open defecation. But they reject the complaint. Useless App and System,en,Environment,False
208,jo factory pollution karti hai residence city area mein us ki bi complaint karne ki option do please,hinglish,Environment,False
209,यह एक बढ़िया एप्लीकेशन है जो कि हमारे भारत को स्वच्छ बनाने में और भी मदद करता है। और मेरी तरफ से निवेदन है उन लोगों से जो खुले में कचरा फेंक देते हैं। कूड़े कचरे को कृपया कर डस्टबिन में डालें।,hi,Environment,False
210,"I complained about the garbage through this app, but it didn't help",en,Environment,False
211,this app is freaking bad it claims that the cleaner will come and clean off the dirt and garbage next day. It has been freaking 4 days the cleaner haven't came. I have complained so many times but it doesn't matter,en,Environment,False
212,I have raised 3 complaints regarding garbage dump but no action taken it's still there from the past 20 days,en,Environment,False
213,"no one takes action, no accountability is there. i posted about garbage scattered near my area. The cleaning team sits infront of my house, still no action was taken. App is easy to use and didn't see any glitches.",en,Environment,False
214,app can't click pictures and without uploading pictures you can't register complaint. another way of corruption,en,Public Administration,False
215,app itself is a Garbage. Given permission for Camera but say allow permission.These people are Deliberately doing it,hinglish,Environment,False
216,this is good but we want learn civic sense in schools 🏫,en,Education,False
217,"waste app I posted report for garbage collecting now its over 7+ days still garbage not cleaned, I live in city area in Kalyan Dombivali but still work not done here. Totally useless app.",en,Environment,False
218,not able to post photo of area that need to collect garbage,en,Environment,False
219,"posted garbage pics and location but zero response, useless app driven by government of India. only advertisement no solution.",en,Environment,False
220,koi problem slowed nahi ho rahi hai na koi answer aa raha hai ye aap government office jesa hai isme bahut time lagega koi fast problem slowed nahi ho rahi hai,hinglish,Public Administration,False
221,garbage can't receive my society,en,Environment,False
222,I was uploaded photos last 20 days but no one still come and clear tha garbage. my experience for very bad .,en,Environment,False
223,corruption at peak 😔,en,Public Administration,False
224,"Camera not opening in the latest update. Maine saari permissions (camera/storage) check kar li hain, fir bhi camera load nahi ho raha. Bina photo ke garbage complain file nahi ho sakti. Very disappointing experience",hinglish,Environment,False
225,"What is this? Is this even an application? What kind of developers build this? Everywhere corruption, atleast complete the app and make it working, do maintainance properly.",en,Public Administration,False
226,इस ऐप पर आप कितनी भी कंप्लेंट करो कभी कोई रिप्लाई नहीं आता है। न ही सरकार देखती है न हीं नगर निगम देखती है,hi,Public Administration,False
227,after 20 days of complaint no action done. sewer overflow and we are living in hell.,en,Urban Development,False
228,"The worst app has been created and destroyed by the government. I complained about garbage but nothing has happened for a month, not even a reply has come, it is just nominal.",en,Environment,False
229,they never do their job instead of doing corruption,en,Public Administration,False
230,"The app has been created only for mental satisfaction, there is no one to look into the complaints nor anyone to take action, everyone is corrupt.",en,Public Administration,False
231,when you choose to complain about garbage. It shows google maps to select the location but you cannot pan the map to select. pathetic app. I was trying to use for the very first time. Useless,en,Environment,False
232,किसी काम का ये ऐप नही है ये एक सरकार की एक नाकामी है इस पे किसी भी प्रकार का शिकायत का कोई भी कार्यवाही नहीं होता है,hi,Public Administration,False
233,i'm From Jabalpur (mp) and it works indian citizen just need to awareness. i've used swachhata app i raised a pic on it at night 9 pm and next morning 11 am they called me and came to clean & collect that garbage.,en,Environment,False
234,"useless app , no one does a single thing even after reporting it several times and what am I supposed to upload as a picture when garbage vehicle hasn't arrived",en,Environment,False
235,इस ऐप का कुछ फायदा नहीं सिर्फ नाम का है बस आसपास की डिटेल मिलती है कि कितना कचरा है कोई साफ करने नहीं आता क्या पता देखा भी नहीं कोई,hi,Environment,False
236,"No action is ever taken on complaints raised through this app. It in itself is garbage. Plus, the location it fetches is so off.",en,Environment,False
237,posted a complaint 2 weeks ago. no action taken against it and garbage is still here . thats trash service.,en,Environment,False
238,I have been posting complaints about garbage dump nearby my area but no action has been taken till now. Another government good for nothing app.,en,Environment,False
239,"was able to report an issue regarding garbage dump after trying like 15 times.. been one month, no action taken.. zero accountability.. (gurgaon is the location..) pata nahi banae hi kyo hai app.",hinglish,Environment,False
240,There is garbage in my area and I file complain but nothing happened,en,Environment,False
241,"Tried using @SwachhBharatGov’s #SwachhataApp after seeing all the hype online. Filed a complaint on garbage issue—no response even after 24 hrs. Real test of #SwachhBharat is on ground, not in PR.",hinglish,Environment,False
242,"We've been experiencing overflowing sewers for a long time now. The sewage water keeps backing up. I've filed a complaint. It's been three or four days, but no one has come to investigate yet.",en,Urban Development,False
243,"I raised an issue on garbage collection in Hinjewadi Pune, MH and the action was taken. though the app status was not updated but the area was cleaned in a quick time",en,Environment,False
244,"filed 3 complaints regarding dumped garbage one month ago..none of my complaints are solved, all are open",en,Environment,False
245,Complaints are pending from long time no solution provided. Very poor management for garbage management,en,Environment,False
246,where is the link to report poor road conditions and road/sidewalk encroachment?,en,Urban Development,False
247,it's been two months since I registered a complaint but no one has taken action regarding my complaint this mobile app is also a garbage,en,Environment,False
248,"No response from the Municipal department , no proper removal of dumped garbage beside road in pallamraju Nagar !! Please take immediate action on teams of Municipal department !!",en,Environment,False
249,I complaint a lot of time about garbage dump but no one take action on it,en,Environment,False
250,"response not given any complaint. i will mamy complaint on garbage dump but those states show opened. complent in 1,2,3 months ago. but those not given response.",en,Environment,False
251,garbage app!Sometimes the complaints are not even seen!,en,Environment,False
252,"there are many people giving fake complaints , it actually works , I posted a complaint about the garbage near my house and it got cleared within 3 days .3 days is more but the work is done.",en,Environment,False
253,either garbage is not getting cleaned or assigned engineer posts a black coloured picture to mark the complaint resolved. there's no action taken against these corrupt engineers.,en,Environment,False
254,फालतू ऐप है कोई काम का नहीं कंप्लेन करने पर कोई रिस्पांस नहीं ऐप पर 6 - 6 मंथ पुराना कंप्लेन का स्टेटस भी ओपन है मतलब कोई काम नहीं होता यहां यह सब ऐप सिर्फ सरकार का एडवरटाइजिंग के लिए है !,hi,Public Administration,False
255,No option for reporting noise pollution,en,Environment,False
256,"I see lots of tickets over 1 month old about garbage, but no action gets taken. The app has a bug - The content goes above the Status bar and is difficult to click.",en,Environment,False
257,"great app 👌, none of my problems solved 👍 as expected from corrupted government 👏",en,Public Administration,False
258,what an useless app!! posted a complaint almost two weeks back but still open😂😂 what a joke 🤡🤡 shame on mohua people this is a pure scam and corruption,en,Public Administration,False
259,your complaint stays on Open status only. no one will visit to check the garbage.,en,Environment,False
260,there is no use of this app because many people in our city have complaint about garbage etc. but no one from staff has taken action and even given us wrong number of engineer's number,en,Environment,False
261,"I have raised too many complaints on open garbage dumping. No response received from concerned team. Being an active citizen is not only for the public, It should be from the government officials too.",en,Environment,False
262,"No action taken even after 10 days, the garbage is increasing day by day",en,Environment,False
263,it's good to open this app but u want to take a complain fast n take a action with this garbage n dirty city,en,Environment,False
264,"so many complaints are pending, and cannot submit complaint regarding encroachment by zopadpattis",en,Urban Development,False
265,please add street light issue in app,en,Energy,False
266,"koi aata hi nhi hai,sab corrupt hai...",hinglish,Public Administration,False
267,no option to report the conduct of garbage vehicle driver. no option to upload photos from gallery.,en,Environment,False
268,works fine for me. garbage got cleaned in barely 2 hours. don't believe to these fake negative reviews.,en,Environment,False
269,"Modi ho yaa Yogi Corrupt system aur laalfeetashahi ko nahi badal sakte , need a strong leader like Mao , Stalin",hinglish,Public Administration,False
270,EPFO never works. All scam and corrupt systems. Waste of public money,en,Public Administration,False
271,very useful for senior citizen to submit there life certificate,en,Public Administration,False
272,"Useless bogus app, Corrupt public servants ruined india.",en,Public Administration,False
273,Great app with easy accessibility,en,Accessibility,False
274,App certificate expired Error comming,en,Public Administration,False
275,"thanks to NDA Government, nice facility, this app enabled me to generate my mother's Jeevan Praman life certificate online at home.",en,Public Administration,False
276,"garbage app from government, servers always down",en,Environment,False
